ID	CRIME_LOCATION	CRIME_LATLONG	DEFENDANT_HOME	DEFENDANT_HOME_LATLONG
t17901027-44	"Broad-street, St. Giles's"	"51.50853,-0.12574"		
t17901027-46	Hemmings's-row	"51.50853,-0.12574"		
t17901027-47	Cornhill	"51.671824,-0.032728"		
t17901027-49	Royal Exchange	"51.518201,-0.169803"		
t17901027-52				
t17901027-57	"George-street, Bethnal-green"	"51.52718,-0.06109"		
t17901027-59	"High-street, St. Giles's"	"51.50853,-0.12574"		
t17901027-6	"23, Crown-street, Moor-fields"	"51.50853,-0.12574"		
t17901027-61	Four Swans	"51.50853,-0.12574"		
t17901027-63				
t17901027-65	Red-cross-street	"51.50853,-0.12574"		
t17901027-66	"18, Red-cross-street"	"51.50853,-0.12574"		
t17901027-70				
t17901027-71				
t17901027-77	Exchange	"51.497566,-0.183931"		
t17901027-8	St. Catherine's-lane	"51.50853,-0.12574"		
t17901208-10				
t17901208-11	Inner-Temple lane	"51.50853,-0.12574"		
t17901208-12	Long-lane	"51.498867,-0.08512"		
t17901208-13	"coal yard, St. Giles's"	"51.50853,-0.12574"		
t17901208-15	High Holborn	"51.517678,-0.118939"		
t17901208-16	"No. 1. Lumber street, commonly called Lumber court, in St. Giles's Parish"	"51.50853,-0.12574"		
t17901208-21	Moorfields	"51.527223,-0.090196"		
t17901208-24	"No. 19, Ogle-court. Queen Ann-street, East"	"51.52332,-0.03888"		
t17901208-25				
t17901208-31	St. Catherines	"51.571362,0.001076"		
t17901208-34				
t17901208-36	Holborn	"51.517115,-0.120066"		
t17901208-37	"the White Hart, Chancery-lane"	"51.5161,-0.11203"		
t17901208-40	Piccadilly	"51.507085,-0.142217"		
t17901208-43				
t17901208-44	Chiswell-street	"51.520606,-0.08863"		
t17901208-45				
t17901208-47				
t17901208-49	"the Cheshire Cheese, in Angel-street"	"51.51609,-0.09785"		
t17901208-50	Upper Newman-street	"51.50853,-0.12574"		
t17910112-13				
t17910112-16				
t17910112-17				
t17910112-21	"Downing-street, Westminster"	"51.503167,-0.126211"		
t17910112-22	Portland-place	"51.52052,-0.145341"		
t17910112-24				
t17910112-25				
t17910112-26				
t17910112-35	High Holborn	"51.517678,-0.118939"		
t17910112-38	Ely-court	"51.534477,-0.196259"		
t17910112-4	Twickenham	"51.446794,-0.328339"		
t17910112-42				
t17910112-44				
t17910112-5				
t17910216-11	Chesterfield-street	"51.506697,-0.148272"		
t17910216-12	"Park-street, Grosvenor-square"	"51.50853,-0.12574"		
t17910216-13	Buckingham-house	"51.508489,-0.123827"		
t17910216-16	St. Paul's-church-yard	"51.50853,-0.12574"		
t17910216-18	"Silver-street, Wood-street"	"51.50853,-0.12574"		
t17910216-19	Court of King's Bench	"51.50853,-0.12574"		
t17910216-20				
t17910216-24	"Cross-lane, near St. Giles's"	"51.50853,-0.12574"		
t17910216-26	Brewer's-quay	"51.50853,-0.12574"		
t17910216-28	"Saracen's Head, Snow-hill"	"51.50853,-0.12574"		
t17910216-29	Fulwood's Rents	"51.50853,-0.12574"		
t17910216-3	"Prince William Henry, a publick house, at Charing cross"	"51.50848,-0.12493"		
t17910216-31	"Upper Norton-street, No. 48."	"51.50853,-0.12574"		
t17910216-33	Spring-Gardens	"51.507054,-0.128424"		
t17910216-36	Vine-street	"51.509471,-0.137154"		
t17910216-37	"Garrick's Head, Bow-street, Covent-Garden"	"51.51424,-0.12471"		
t17910216-38	Shadwell	"51.51125,-0.056924"		
t17910216-39	Upper Norman-street	"51.50853,-0.12574"		
t17910216-4	"No. 306, High Holborn"	"51.517678,-0.118939"		
t17910216-40	"Newman-street, Oxford-road"	"51.50853,-0.12574"		
t17910216-40	"Newman-street, Oxford-road"	"51.50853,-0.12574"		
t17910216-5				
t17910216-6	New Church in the Strand	"51.50853,-0.12574"		
t17910216-8	"No. 23, Redcross-street, Cripplegate"	"51.50853,-0.12574"		
t17910216-9	St. James's Park	"51.50307,-0.133185"		
t17910413-1				
t17910413-10	Hare-court	"51.50853,-0.12574"		
t17910413-15				
t17910413-18				
t17910413-2	Smithfield	"51.508733,-0.072803"		
t17910413-21	"No. 3, White Bear-court, Aldersgate, High-street"	"51.50853,-0.12574"		
t17910413-23	Devonshire-place	"51.523207,-0.150418"		
t17910413-24	"the Sugar-loaf, Bell-yard"	"51.50853,-0.12574"		
t17910413-25	"No. 8, Baker's-buildings, West-Smithfield"	"51.50853,-0.12574"		
t17910413-26	"No. 3, Star-court"	"51.50853,-0.12574"		
t17910413-27	Somerset-house	"51.510935,-0.118109"		
t17910413-3	Queen-street	"51.574962,0.176603"		
t17910413-30				
t17910413-32	Rathbone place	"51.517393,-0.133841"		
t17910413-34				
t17910413-35	"Great Titchfield-street, Marybone"	"51.50853,-0.12574"		
t17910413-36	"No. 48, Baldwin's-gardens"	"51.520065,-0.110372"		
t17910413-37				
t17910413-39	"Little Russel-street, Covent Garden, No. 33"	"51.50853,-0.12574"		
t17910413-4				
t17910413-40	"St. Dunstan, Stepney"	"51.5175,-0.04292"		
t17910413-41				
t17910413-43	Sion	"51.448108,-0.322367"		
t17910413-44	Hackney turnpike	"51.50853,-0.12574"		
t17910413-46				
t17910413-5	Park-lane	"51.511072,-0.157142"		
t17910413-50	Goodman's-fields	"51.513717,-0.068538"		
t17910413-51	St. George's coffee-house	"51.50853,-0.12574"		
t17910413-52				
t17910413-54	"No. 11, Steward's-rents, Great Wild-street"	"51.50853,-0.12574"		
t17910413-55	"No. 40, Great Russell-street, Bloomsbury"	"51.51833,-0.125862"		
t17910413-58	New Bond-street	"51.513977,-0.146214"		
t17910413-59	Hanworth	"51.434848,-0.390361"		
t17910413-60	Holborn-hill	"51.50853,-0.12574"		
t17910413-62	Chiswell-street	"51.520606,-0.08863"		
t17910413-63				
t17910413-64				
t17910608-1	"No. 4, Broad-street, Carnaby-market"	"51.50853,-0.12574"		
t17910608-10	"Castle-lane, Westminster"	"51.498405,-0.139209"		
t17910608-11	"No. 145, Fleet-street"	"51.50853,-0.12574"		
t17910608-13	Guy Earl of Warwick in Gray's-inn-lane	"51.50853,-0.12574"		
t17910608-14	Newgate-street	"51.620793,0.014026"		
t17910608-16	Chancery-lane	"51.518107,-0.11236"		
t17910608-19	Cateaton-street	"51.50853,-0.12574"		
t17910608-2	"Newtoner's-lane, St. Giles's"	"51.50853,-0.12574"		
t17910608-25	Snow-hill	"51.50853,-0.12574"		
t17910608-26	Clay-hall	"51.50853,-0.12574"		
t17910608-28	"Norris-street, Hay market"	"51.50853,-0.12574"		
t17910608-31	"Bishopsgate-street, Farrer's-rents"	"51.50853,-0.12574"		
t17910608-34	"Swan with Two Necks, Lad-lane"	"51.50853,-0.12574"		
t17910608-35	Long-acre	"51.51191,-0.127005"		
t17910608-36	"No. 114, Long-acre"	"51.51191,-0.127005"		
t17910608-37	"St. James, Clerkenwell"	"51.52438,-0.11022"		
t17910608-40	Hoxton	"51.532393,-0.086078"		
t17910608-5	Tottenham	"51.597696,-0.067289"		
t17910608-5	Tottenham	"51.597696,-0.067289"		
t17910608-6	"No. 65, Hatton-garden"	"51.520648,-0.108558"		
t17910608-7	Hammersmith	"51.492038,-0.22364"		
t17910720-13	"Charles-court, Strand"	"51.50853,-0.12574"		
t17910720-15	"Brownlow-street, Holborn"	"51.518746,-0.11497"		
t17910720-18	Covent Garden	"51.512889,-0.122531"		
t17910720-2	St. Paul's Church-yard	"51.50853,-0.12574"		
t17910720-21				
t17910720-22	Parker's-street	"51.50853,-0.12574"		
t17910720-23				
t17910720-24	St. Paul's	"51.545715,-0.13077"		
t17910720-25	"Bread-street, Cheapside"	"51.51409,-0.09394"		
t17910720-26	Fig-tree-court	"51.50853,-0.12574"		
t17910720-28				
t17910720-29				
t17910720-3	Fenchurch-street	"51.51167,-0.07881"		
t17910720-30	Cricket-ground at Marybone	"51.50853,-0.12574"		
t17910720-31				
t17910720-33	Hampstead	"51.554288,-0.174075"		
t17910720-35	"No. 41, Old-street"	"51.526588,-0.083152"		
t17910720-37				
t17910720-4	"No. 3, in Middlesex-court"	"51.50853,-0.12574"		
t17910720-7	Bishopsgate-street	"51.50853,-0.12574"		
t17910720-8	Leadenhall-street	"51.50853,-0.12574"		
t17910720-9				
t17910914-10	Galley-quay	"51.50853,-0.12574"		
t17910914-12	"Green Man, at Paddington"	"51.51558,-0.1763"		
t17910914-15	"Cannon-street turnpike, by St. George's in the East"	"51.52332,-0.03888"		
t17910914-16	Drury-lane	"51.514507,-0.121907"		
t17910914-18	Grafton-street	"51.510349,-0.142479"		
t17910914-2				
t17910914-21	Parker's-lane	"51.50853,-0.12574"		
t17910914-22				
t17910914-23	Houndsditch	"51.50853,-0.12574"		
t17910914-24	"Bishopsgate Without, No. 40"	"51.50853,-0.12574"		
t17910914-25	"Newgate-street, nearly facing Warwick-lane"	"51.50853,-0.12574"		
t17910914-29	Bunhill-row	"51.524519,-0.090475"		
t17910914-30	Turnmill-street	"51.520983,-0.105"		
t17910914-32				
t17910914-33	"Foster-lane, Cheapside, the Sun Tavern"	"51.50853,-0.12574"		
t17910914-35	"Angel Inn, the back of St. Clement's"	"51.50853,-0.12574"		
t17910914-36	"Ram-alley, Gingerbread court, Bishopsgate-court"	"51.50853,-0.12574"		
t17910914-37	"Sun-street, No. 7"	"51.520366,-0.085683"		
t17910914-43	"Baylis-court, Bell-yard"	"51.50853,-0.12574"		
t17910914-44	"Duke of York's Head, Fulwood's-rents, Holborn"	"51.51753,-0.12045"		
t17910914-5	Fish-street-hill	"51.50853,-0.12574"		
t17910914-51				
t17910914-58	Richmond-street	"51.530819,0.023119"		
t17910914-6	Fish-street-hill	"51.50853,-0.12574"		
t17910914-64				
t17910914-7				
t17910914-70				
t17910914-8	Basinghall-street	"51.51593,-0.09111"		
t17910914-9	Blackfriars Bridge	"51.507711,-0.104471"		
t17911026-1	"No. 65, Gray's-inn-lane"	"51.50853,-0.12574"		
t17911026-10	"No. 149, Bishopsgate-without"	"51.50853,-0.12574"		
t17911026-11	Minories	"51.510384,-0.073413"		
t17911026-13	Petticoat-lane	"51.50853,-0.12574"		
t17911026-15	St. James's Park	"51.50307,-0.133185"		
t17911026-16	Winfield-street	"51.50853,-0.12574"		
t17911026-17	Old-street	"51.504154,-0.089938"		
t17911026-17	Old-street	"51.504154,-0.089938"		
t17911026-20	"No. 20, Shoreditch"	"51.526669,-0.079893"		
t17911026-22	Aldersgate street	"51.51859,-0.09705"		
t17911026-25	"No. 31, Swallow-street"	"51.516737,0.05191"		
t17911026-26	"No. 2, Percy-street"	"51.518678,-0.132639"		
t17911026-29				
t17911026-3				
t17911026-33	Greek-street	"51.514217,-0.130985"		
t17911026-39				
t17911026-41				
t17911026-42	"Tower-street, Seven-dials"	"51.50853,-0.12574"		
t17911026-44				
t17911026-46				
t17911026-47				
t17911026-48	"Goodman's-yard, Minories"	"51.50853,-0.12574"		
t17911026-57				
t17911026-58				
t17911026-61				
t17911026-7				
t17911026-8	Mile-end	"51.525338,-0.033435"		
t17911026-9				
t17911207-10	Snow-hill	"51.50853,-0.12574"		
t17911207-11	"New-street square, Shoe-lane"	"51.50853,-0.12574"		
t17911207-13	Enfield	"51.651712,-0.083214"		
t17911207-14	"No. 7, Wardour-street, Soho"	"51.513967,-0.134335"		
t17911207-15				
t17911207-16	"Union-street, Shadwell"	"51.51135,-0.05663"		
t17911207-20				
t17911207-22	"the Magpye, in Aldersgate-street"	"51.51859,-0.09705"		
t17911207-26	Willsden	"51.50853,-0.12574"		
t17911207-30	Tottenham-court-road	"51.516269,-0.130838"		
t17911207-31	"Swallow-street, Piccadilly"	"51.50853,-0.12574"		
t17911207-33				
t17911207-34	Cavendish-square	"51.516925,-0.145191"		
t17911207-37				
t17911207-39				
t17911207-4	"No. 33, Eagle-street, Red-lion-square"	"51.50853,-0.12574"		
t17911207-42	Jewin-street	"51.50853,-0.12574"		
t17911207-45	"No. 2, Smithfield-bars"	"51.50853,-0.12574"		
t17911207-46				
t17911207-7				
t17911207-9				
t17920113-11	Ely-place	"51.518189,-0.107061"		
t17920113-13	"No. 292, Wapping"	"51.505436,-0.058729"		
t17920113-2	Drury-lane	"51.514507,-0.121907"		
t17920113-27				
t17920113-3	Lower Shadwell	"51.51135,-0.05663"		
t17920113-33	"Newton-street, High Holborn"	"51.51753,-0.12045"		
t17920113-35				
t17920113-36	St. Paul's church-yard	"51.50853,-0.12574"		
t17920113-37				
t17920113-4	"St. Botolph, Bishopsgate-street Without"	"51.50853,-0.12574"		
t17920113-40	"No. 4, Sun-street, Bishopsgate-street"	"51.50853,-0.12574"		
t17920113-41	"No. 15, in Bridges-street"	"51.50853,-0.12574"		
t17920113-44	"Buckingham-street, York-buildings"	"51.50853,-0.12574"		
t17920113-45	Beech-street	"51.580931,0.170602"		
t17920113-46	Grosvenor-place	"51.501764,-0.151502"		
t17920113-5	Grafton-street	"51.510349,-0.142479"		
t17920113-54				
t17920113-59				
t17920113-6	"Bridge-street, Westminster"	"51.500957,-0.124608"		
t17920113-7	ship Eliza	"51.50853,-0.12574"		
t17920215-10	"Ship alehouse, Turnstile, Holborn"	"51.51753,-0.12045"		
t17920215-12	"No. 192, High Holborn"	"51.517678,-0.118939"		
t17920215-14				
t17920215-15				
t17920215-16				
t17920215-17				
t17920215-18				
t17920215-2				
t17920215-20	Moorfields	"51.527223,-0.090196"		
t17920215-26	"No. 67, Rosemary-lane"	"51.468397,-0.269985"		
t17920215-3	the Nelly	"51.50853,-0.12574"		
t17920215-30				
t17920215-32	"Booth-street, Spitalfields"	"51.5202,-0.07436"		
t17920215-34				
t17920215-35				
t17920215-36	"Long-alley, Moorfields"	"51.50853,-0.12574"		
t17920215-38				
t17920215-4	Thames-street	"51.413233,-0.364263"		
t17920215-42	Strand	"51.508834,-0.125093"		
t17920215-46	"Gower-street, Bedford-square"	"51.50853,-0.12574"		
t17920215-9				
t17920329-1				
t17920329-16				
t17920329-18	Great Russel-street	"51.50853,-0.12574"		
t17920329-19	"Thomhaugh street, Bedford-square"	"51.50853,-0.12574"		
t17920329-2				
t17920329-21	Tottenham-court-road	"51.516269,-0.130838"		
t17920329-22	Newtoner's-lane	"51.50853,-0.12574"		
t17920329-23	Greek-street	"51.514217,-0.130985"		
t17920329-24	"Tabernacle-row, in the City Road"	"51.50853,-0.12574"		
t17920329-29	"Green-street, Grosvenor-square"	"51.50853,-0.12574"		
t17920329-3				
t17920329-34				
t17920329-35				
t17920329-36				
t17920329-39	Oxford-street	"51.513515,-0.157743"		
t17920329-4				
t17920329-40				
t17920329-42	Fleet-street	"51.51348,-0.112117"		
t17920329-43	Cheapside	"51.616683,-0.087295"		
t17920329-45	Wellclose-square	"51.509799,-0.065867"		
t17920329-46				
t17920329-48	Newgate-street	"51.620793,0.014026"		
t17920329-5	"Green-stairs, Rotherhithe"	"51.5,-0.05"		
t17920329-52				
t17920329-57				
t17920329-6				
t17920523-11	"Harris's-court, Oxford-street"	"51.51475,-0.14608"		
t17920523-15	King's Mews	"51.457367,-0.129005"		
t17920523-16	Hyde-park	"51.507489,-0.162195"		
t17920523-18	Bond-street	"51.51433,-0.148999"		
t17920523-2	Long-alley	"51.50853,-0.12574"		
t17920523-20				
t17920523-23	Saffron-hill	"51.520831,-0.107168"		
t17920523-27	London Hospital	"51.50853,-0.12574"		
t17920523-32	London Wall	"51.50853,-0.12574"		
t17920523-34	Artichoke Hill	"51.509316,-0.063028"		
t17920523-35				
t17920523-37	Horse and Groom at Hampstead	"51.55744,-0.18213"		
t17920523-42				
t17920523-44				
t17920523-46				
t17920523-47				
t17920523-49	Moorfields	"51.527223,-0.090196"		
t17920523-53				
t17920523-54	"St. Leonard, Shoreditch"	"51.526858,-0.077162"		
t17920523-56				
t17920523-57				
t17920523-59	"Oakley's-row, Spitalfields"	"51.5202,-0.07436"		
t17920523-60				
t17920523-63	"White's-Alley, Bream's-buildings, Chancery-lane"	"51.5161,-0.11203"		
t17920523-64	"Strand, the corner of Southampton-street"	"51.50853,-0.12574"		
t17920523-65	"21, New Quebec-street"	"51.515163,-0.158345"		
t17920523-68				
t17920523-69				
t17920523-76				
t17920523-77				
t17920523-78	"Folly-House, Blackwall"	"51.50971,-0.0016"		
t17920523-79				
t17920523-81				
t17920523-83	Grace Church Street	"51.50853,-0.12574"		
t17920523-9				
t17920704-1	"No. 58, Penton-street, in the parish of St. James, Clerkenwell"	"51.52438,-0.11022"		
t17920704-18	"No. 68, Cable-street"	"51.511092,-0.055198"		
t17920704-20				
t17920704-22				
t17920704-25	Long Acre	"51.51191,-0.127005"		
t17920704-26				
t17920704-27				
t17920704-28	Whiterose-alley	"51.50853,-0.12574"		
t17920704-30	Jermyn-street	"51.508896,-0.135256"		
t17920704-31	"No. 3, Crown-court, Little Poultney-street"	"51.50853,-0.12574"		
t17920704-32				
t17920704-33				
t17920704-4				
t17920704-42				
t17920704-6	"No. 3, Great York-street, Swan-yard, Shoreditch"	"51.52509,-0.07695"		
t17920912-10	Grosvenor Place	"51.501764,-0.151502"		
t17920912-11	Bishopsgate-street	"51.50853,-0.12574"		
t17920912-15				
t17920912-2	Willow-walk	"51.582286,-0.027856"		
t17920912-24				
t17920912-29				
t17920912-30				
t17920912-31				
t17920912-32	"No. 35, in Oxford Road"	"51.50853,-0.12574"		
t17920912-39				
t17920912-4	Paddington	"51.516305,-0.179242"		
t17920912-40				
t17920912-41				
t17920912-42	"Bridgewater-square, Barbican"	"51.51988,-0.09446"		
t17920912-44	Hayes	"51.507715,-0.418147"		
t17920912-45	"No. 22, Cock-lane, Shoreditch"	"51.52509,-0.07695"		
t17920912-46				
t17920912-50				
t17920912-56				
t17920912-62	Rosemary-lane	"51.468397,-0.269985"		
t17920912-63				
t17920912-66	Fleet-street	"51.51348,-0.112117"		
t17920912-67				
t17920912-69	the Hoop and Bunch of Grapes in Cable-street	"51.50853,-0.12574"		
t17920912-7				
t17920912-71				
t17920912-76				
t17920912-77				
t17920912-79	"the Green Man, in Darkhouse lane"	"51.50853,-0.12574"		
t17921031-1	St. Mary-le-bone	"51.52541,-0.16806"		
t17921031-14	Lombard-street	"51.50853,-0.12574"		
t17921031-15				
t17921031-17				
t17921031-18	Fleet-market	"51.50853,-0.12574"		
t17921031-19	Cavendish Square	"51.516925,-0.145191"		
t17921031-21	Islington	"51.538429,-0.099905"		
t17921031-22				
t17921031-23	"New Road, St. Pancras."	"51.53333,-0.13333"		
t17921031-26				
t17921031-28	"Chester's key, in Thames-street"	"51.50853,-0.12574"		
t17921031-29	Suffolk Mews	"51.50853,-0.12574"		
t17921031-3	"New-street, Spring Gardens"	"51.50853,-0.12574"		
t17921031-30	Harley-street	"51.523309,-0.149076"		
t17921031-36				
t17921031-37				
t17921031-38				
t17921031-39	"St. Thomas's-street, Bethnal-green"	"51.52718,-0.06109"		
t17921031-40	"white Raven public-house, at mile end"	"51.52501,-0.03176"		
t17921031-41	Tottenham Court Road	"51.516269,-0.130838"		
t17921031-42				
t17921031-43	"South-street, Manchester-square"	"51.50853,-0.12574"		
t17921031-44				
t17921031-45				
t17921031-46				
t17921031-50				
t17921031-51	"Water-lane, Fleet-street"	"51.50853,-0.12574"		
t17921031-52	Ludgate-street	"51.50853,-0.12574"		
t17921031-53	"No. 3, Rodney's-row, Farmer-street, Shadwell"	"51.51135,-0.05663"		
t17921031-54	Old-street	"51.525628,-0.087542"		
t17921031-55	Mile End	"51.525338,-0.033435"		
t17921031-57				
t17921031-58	Bishopsgate-street	"51.50853,-0.12574"		
t17921031-59	"No. 146, Wapping"	"51.505436,-0.058729"		
t17921031-62	Holborn	"51.517115,-0.120066"		
t17921031-65	"Broad-way, Westminster"	"51.5,-0.11667"		
t17921031-66				
t17921031-69	Cannon Street	"51.5107,-0.09057"		
t17921031-8	Cheapside	"51.616683,-0.087295"		
t17921215-10	Fleet-street	"51.51348,-0.112117"		
t17921215-103	"No. 3, Jerusalem-passage Clerkenwell"	"51.523097,-0.10369"		
t17921215-11				
t17921215-113	"No. 78, Piccadilly"	"51.507085,-0.142217"		
t17921215-114				
t17921215-117	"No. 42, and No. 45, Oxford-road"	"51.50853,-0.12574"		
t17921215-118	little Moorfields:	"51.50853,-0.12574"		
t17921215-120	"Cooper's-row. Golden-square, Crutched-friars"	"51.50853,-0.12574"		
t17921215-122				
t17921215-123	Royal-exchange	"51.518201,-0.169803"		
t17921215-17	"No. 27, Newport-street"	"51.492719,-0.117921"		
t17921215-22	Petticoat-lane	"51.50853,-0.12574"		
t17921215-24	Oxford-road	"51.55044,-0.484872"		
t17921215-24	Oxford-road	"51.55044,-0.484872"		
t17921215-31				
t17921215-32	"No. 91, on the Terrace, Tottenham Court Road"	"51.51659,-0.13083"		
t17921215-33	"St. James's Walk, Clerkenwell Green"	"51.50853,-0.12574"		
t17921215-34				
t17921215-36	"St. John's-street, Wapping"	"51.50506,-0.05682"		
t17921215-42				
t17921215-57	Denmark-court	"51.392746,-0.199739"		
t17921215-58	"East-lane, Rotherhithe"	"51.5,-0.05"		
t17921215-66	Wapping-stairs	"51.504119,-0.055811"		
t17921215-79	Play-house-yard	"51.50853,-0.12574"		
t17921215-80				
t17921215-83	Westminster-bridge	"51.5009,-0.122757"		
t17921215-85	keeps a toy shop	"51.50853,-0.12574"		
t17921215-85	keeps a toy shop	"51.50853,-0.12574"		
t17921215-86	Cow-lane	"51.535291,-0.348537"		
t17921215-88	Garlick-hill	"51.50853,-0.12574"		
t17921215-9				
t17921215-91	Sharp's-alley	"51.50853,-0.12574"		
t17921215-98	"Little Ormond-yard, Ormond-street"	"51.50853,-0.12574"		
t17930109-10				
t17930109-11	Moorfields	"51.527223,-0.090196"		
t17930109-12	Old Bailey	"51.51583,-0.10191"		
t17930109-13				
t17930109-17	Highgate	"51.574432,-0.152684"		
t17930109-18				
t17930109-19	Great Russel-street	"51.50853,-0.12574"		
t17930109-20				
t17930109-25				
t17930109-31	St. Botolph Aldgate	"51.51342,-0.0771"		
t17930109-32				
t17930109-36				
t17930109-48	Long-acre	"51.51191,-0.127005"		
t17930109-52	St. Mildred in the Poultry	"51.50853,-0.12574"		
t17930109-61				
t17930109-8	"Cecil-court, St. Martin's-lane"	"51.50853,-0.12574"		
t17930109-9				
t17930220-1	"4, Middle Scotland yard, near Whitehall"	"51.469645,-0.071129"		
t17930220-10	Paul's wharf	"51.510091,-0.067917"		
t17930220-18	"1, Crown-street, St. Giles's"	"51.50853,-0.12574"		
t17930220-19	great Russell-street	"51.51833,-0.125862"		
t17930220-25	George in the Haymarket	"51.50853,-0.12574"		
t17930220-27	Fish-street-hill	"51.50853,-0.12574"		
t17930220-29	Friday-street	"51.51239,-0.09579"		
t17930220-32	"Ibbotson's Hotel, in Vere-street, Cavendish Square"	"51.50853,-0.12574"		
t17930220-36	Hermitage stairs	"51.504794,-0.068088"		
t17930220-4	"King-street, St. Ann's, Soho"	"51.5144,-0.13535"		
t17930220-43				
t17930220-45				
t17930220-52	"Brooke's Market, the Three Jolly Butchers"	"51.50853,-0.12574"		
t17930220-53	"Black Dog, the corner of Long-alley, Brown-street, Moorfields"	"51.50853,-0.12574"		
t17930220-6	"Cow-cross, near Smithfield"	"54.980048,-2.875102"		
t17930220-60	"York-street, Buckingham-buildings"	"51.50853,-0.12574"		
t17930220-68	"One Tun, Holborn-hill"	"51.50853,-0.12574"		
t17930220-75	"Charles-street, Battle Bridge"	"51.50853,-0.12574"		
t17930220-78	"Vine street, Middlesex Hospital"	"51.51896,-0.13808"		
t17930220-8	London Wall	"51.50853,-0.12574"		
t17930220-81	"Duke of Leeds, St. James's Square"	"51.50853,-0.12574"		
t17930220-83	Wych-street	"51.50853,-0.12574"		
t17930220-86	"82, Fore-street"	"51.621427,-0.061775"		
t17930220-89				
t17930220-9	Dowgate-hill	"51.50853,-0.12574"		
t17930410-1	Redcross-street	"51.50853,-0.12574"		
t17930410-10	Bow street	"51.513196,-0.121861"		
t17930410-11	Whitechapel	"51.518623,-0.062081"		
t17930410-20				
t17930410-21	Brentford	"51.486396,-0.321662"		
t17930410-22	Stepney-fields	"51.50853,-0.12574"		
t17930410-27	"horse shoe and magpie, Berner's-street, Soho"	"51.5144,-0.13535"		
t17930410-28	Fulham	"51.474422,-0.206077"		
t17930410-3				
t17930410-30	"Eight Bells, in Hackney"	"51.55,-0.05"		
t17930410-32	"18, Chapel-street, St. George in the East"	"51.52332,-0.03888"		
t17930410-34				
t17930410-35	"Cartwright-street, No. 39, Rosemary-lane"	"51.50853,-0.12574"		
t17930410-36	"High-street, St. Giles's"	"51.50853,-0.12574"		
t17930410-37				
t17930410-38				
t17930410-40	"Hind-street, Mansell-square"	"51.50853,-0.12574"		
t17930410-41	Green Arbor-court in the Old Bailey	"51.51583,-0.10191"		
t17930410-43	"Narrow wall, Lime-house"	"51.50853,-0.12574"		
t17930410-45	"Cross-street, Islington"	"51.539077,-0.100732"		
t17930410-59	Tower street	"51.513116,-0.127568"		
t17930410-61	Fleet-street	"51.51348,-0.112117"		
t17930410-62	Bucklersbury	"51.51296,-0.09042"		
t17930410-70	Coventry-street	"51.510269,-0.132297"		
t17930410-71	Monmouth-street	"51.513446,-0.12709"		
t17930410-73	Falconberg-mews	"51.516088,-0.131287"		
t17930410-75	Pinner Chapel	"51.50853,-0.12574"		
t17930410-80	"Great Queen-street, Lincoln's Inn-fields"	"51.50853,-0.12574"		
t17930410-82				
t17930410-93	Kentish Town	"51.550066,-0.142562"		
t17930410-95	Fleet-street	"51.51348,-0.112117"		
t17930410-99	"3, Gracechurch-street"	"51.50853,-0.12574"		
t17930529-15				
t17930529-2				
t17930529-20	Upper Seymour-street	"51.50853,-0.12574"		
t17930529-27	Inner Temple	"51.50853,-0.12574"		
t17930529-29				
t17930529-30	Bow-street	"51.513196,-0.121861"		
t17930529-33				
t17930529-39	"No. 10, Porter-street, Newport-market"	"51.50853,-0.12574"		
t17930529-40	"Glass House-street, St. James's"	"51.5073,-0.13982"		
t17930529-41	"Corbert's-court, Brown's-lane, Spitalfields"	"51.5202,-0.07436"		
t17930529-44	Aldgate	"51.514055,-0.073585"		
t17930529-45	"Swan with Two Necks, Lad-lane"	"51.50853,-0.12574"		
t17930529-53	"No. 14, Cleveland-street, just at the end of London-street"	"51.50853,-0.12574"		
t17930529-60	St. Paul's Church-yard	"51.50853,-0.12574"		
t17930529-63	Three Tuns in Smithfield	"51.50853,-0.12574"		
t17930529-67				
t17930529-75	Three Tuns coffee house in the Strand	"51.50853,-0.12574"		
t17930529-77				
t17930529-8				
t17930529-81	Holborn	"51.517115,-0.120066"		
t17930529-85	"Market-lane, St. James's-Market, No. 19"	"51.50853,-0.12574"		
t17930529-89				
t17930529-94	"No. 32, Shoe-lane"	"51.50853,-0.12574"		
t17930626-15	Whitechapel	"51.518623,-0.062081"		
t17930626-18	High Holborn	"51.517678,-0.118939"		
t17930626-24				
t17930626-26	"St. Leonard's, Shoreditch"	"51.52509,-0.07695"		
t17930626-28	Cranbourn-lane	"51.50853,-0.12574"		
t17930626-29				
t17930626-31	"Crane-court, Butcher-row"	"51.50853,-0.12574"		
t17930626-40				
t17930626-51	New Road	"51.521833,0.193512"		
t17930626-8	"Saville-passage, Saville-street"	"51.50853,-0.12574"		
t17930911-100	"John street, Crutched friars, Aldgate"	"51.51342,-0.0771"		
t17930911-103	Holborn	"51.517115,-0.120066"		
t17930911-116				
t17930911-118	Lombard-street	"51.50853,-0.12574"		
t17930911-120	Paternostor-row	"51.50853,-0.12574"		
t17930911-122	"Prince's-street, Barbican"	"51.51988,-0.09446"		
t17930911-13	Covent-garden-market	"51.511994,-0.122796"		
t17930911-16	Paul's Wharf	"51.510091,-0.067917"		
t17930911-31	"sign of the Hanover-square, in St. George's row"	"51.50853,-0.12574"		
t17930911-33	"Bow-street, Westminster"	"51.513196,-0.121861"		
