ID	CRIME_LOCATION	CRIME_LATLONG	DEFENDANT_HOME	DEFENDANT_HOME_LATLONG
t17181015-13	St. James's Park	"51.50307,-0.133185"		
t17181015-19			St. Giles's Cripplegate	"51.50853,-0.12574"
t17181015-22			Stepney	"51.517402,-0.046219"
t17181015-22			Stepney	"51.517402,-0.046219"
t17181015-24			St. Michaels Cornhill	"51.51336,-0.08597"
t17181015-3			St. Mary White-Chappel	"51.50853,-0.12574"
t17181015-30			Fulham	"51.474422,-0.206077"
t17181015-35				
t17181015-37			St. Sepulchres	"51.50853,-0.12574"
t17181205-11			St. Dunstans Stepney	"51.516837,-0.041658"
t17181205-12			St. Dunstans Stepney	"51.516837,-0.041658"
t17181205-13			St. Buttolphs Aldgate	"51.51342,-0.0771"
t17181205-14			St. Sepulchres	"51.50853,-0.12574"
t17181205-16			St. Sepulchres	"51.50853,-0.12574"
t17181205-17			St. Buttolphs Aldgate	"51.51342,-0.0771"
t17181205-2			St. Gabriel's Fenchurch-street	"51.51167,-0.07881"
t17181205-22	St. Paul's Church-Yard	"51.50853,-0.12574"	St. Giles in the Fields	"51.515306,-0.128446"
t17181205-22	St. Paul's Church-Yard	"51.50853,-0.12574"	St. Giles in the Fields	"51.515306,-0.128446"
t17181205-3			St. Mildred Poultry	"51.50853,-0.12574"
t17181205-30			Hackney	"51.54324,-0.049362"
t17181205-31			St. James Westminster	"51.507191,-0.132358"
t17181205-34			St. Andrews Holbourn	"51.50853,-0.12574"
t17181205-36			St. Martins in the Fields	"51.50853,-0.12574"
t17181205-37			Stepney	"51.517402,-0.046219"
t17181205-37			Stepney	"51.517402,-0.046219"
t17181205-39			St. Andrew Holbourn	"51.50853,-0.12574"
t17181205-41			Hackney	"51.54324,-0.049362"
t17181205-42			St. Andrews Holbourn	"51.50853,-0.12574"
t17181205-46			Stepney	"51.517402,-0.046219"
t17181205-46			Stepney	"51.517402,-0.046219"
t17181205-47			St. Andrews Holbourn	"51.50853,-0.12574"
t17181205-48			St. Sepulchres	"51.50853,-0.12574"
t17181205-5			St. Giles's Cripplegate	"51.50853,-0.12574"
t17181205-50	Holbourn-Bridge	"51.50853,-0.12574"	St. Sepulchres	"51.50853,-0.12574"
t17181205-50	Holbourn-Bridge	"51.50853,-0.12574"	St. Sepulchres	"51.50853,-0.12574"
t17181205-51			St. Andrews Holbourn	"51.50853,-0.12574"
t17181205-6			St. Thomas Apostles	"51.50853,-0.12574"
t17181205-7	Stocks-Market	"51.50853,-0.12574"	St. Mildreds Poultry	"51.50853,-0.12574"
t17181205-7	Stocks-Market	"51.50853,-0.12574"	St. Mildreds Poultry	"51.50853,-0.12574"
t17181205-8			St. Magnes the Martyr	"51.50853,-0.12574"
t17190115-10			St. Mary Aldermanbury	"51.51625,-0.09299"
t17190115-11			St. Buttolph Aldgate	"51.51342,-0.0771"
t17190115-13			Allhallows Bread-street	"51.51342,-0.09487"
t17190115-20	near Stains	"51.507265,-0.127833"	Stanwell	"51.483581,-0.492747"
t17190115-20	near Stains	"51.507265,-0.127833"	Stanwell	"51.483581,-0.492747"
t17190115-25	little Ormond-yard	"51.50853,-0.12574"	St. Andrews Holbourn	"51.50853,-0.12574"
t17190115-25	little Ormond-yard	"51.50853,-0.12574"	St. Andrews Holbourn	"51.50853,-0.12574"
t17190115-26			St. Clement Danes	"51.513109,-0.113857"
t17190115-27			St. Giles Cripplegate	"51.50853,-0.12574"
t17190115-3			St. James's Clarkenwel	"51.50853,-0.12574"
