OFFENCE_CAT,OFFENCE_SUBCAT,COUNT(A.OFFENCE_SUBCAT),,,Offense,Sub Category,No.,%,,Sub Category,No.,%,,SubCat,gender,number,,Crime Category,No.,%,,Crime Category,No.,%,,,
theft,theftFromPlace,3179,,,,theftFromPlace,3179,4.33%,,,,,,robbery,unknown,237,,,,,,,,,,,
violentTheft,highwayRobbery,388,,,violentTheft,highwayRobbery,388,0.53%,,,,,,seditiousLibel,unknown,1,,,,,,,,,,,
violentTheft,other,1,,,,other,1,0.00%,,,,,,shoplifting,female,154,,,,,,,,,,,
violentTheft,robbery,331,,,,robbery,331,0.45%,,,,,,shoplifting,male,157,,,,,,,,,,,
,,,,,Total,,73451,100.00%,,,,,,shoplifting,unknown,614,,,,,,,,,,,
,,,,,,,,,,,,,,simpleLarceny,female,818,,,,,,,,,,,
,,,,,,,,,,,,,,simpleLarceny,male,3385,,,,,,,,,,,
,,,,,,,,,,,,,,simpleLarceny,unknown,421,,,,,,,,,,,
,,,,,,,,,,,,,,sodomy,unknown,1,,,,,,,,,,,
,,,,,,,,,,,,,,stealingFromMaster,female,96,,,,,,,,,,,
,,,,,,,,,,,,,,stealingFromMaster,male,225,,,,,,,,,,,
,,,,,,,,,,,,,,stealingFromMaster,unknown,209,,,,,,,,,,,
,,,,,,,,,,,,,,taxOffences,male,2,,,,,,,,,,,
,,,,,,,,,,,,,,taxOffences,unknown,7,,,,,,,,,,,
,,,,,,,,,,,,,,theftFromPlace,female,293,,,,,,,,,,,
,,,,,,,,,,,,,,theftFromPlace,male,1248,,,,,,,,,,,
,,,,,,,,,,,,,,theftFromPlace,unknown,1638,,,,,,,,,,,
,,,,,,,,,,,,,,threateningBehaviour,male,1,,,,,,,,,,,
,,,,,,,,,,,,,,threateningBehaviour,unknown,1,,,,,,,,,,,
,,,,,,,,,,,,,,treason,unknown,3,,,,,,,,,,,
,,,,,,,,,,,,,,vagabond,male,1,,,,,,,,,,,
,,,,,,,,,,,,,,wounding,male,1,,,,,,,,,,,
,,,,,,,,,,,,,,wounding,unknown,105,,,,,,,,,,,
