"PRIMARY_ID","UNIQUE_ID","PLACE_NAME","PLACE_TYPE"
"t16901210-8","t16901210-8-crimeloc41","St. Pancras","crimeLocation"
"t16910218-33","t16910218-33-defloc150","St. James Westminster","defendantHome"
"t16910422-14","t16910422-14-crimeloc73","Fetter-Lane","crimeLocation"
"t16910422-32","t16910422-32-crimeloc157","St. Christophers Parish, near the Exchange","crimeLocation"
"t16910708-20","t16910708-20-crimeloc81","St. James Clarkenwel","crimeLocation"
"t16910708-24","t16910708-24-crimeloc103","St. Andrews Holburn","crimeLocation"
"t16920115-2","t16920115-2-crimeloc6","St. Michaels Cornhill","crimeLocation"
"t16920115-20","t16920115-20-crimeloc102","Ratcliff Highway","crimeLocation"
"t16920115-2","t16920115-20-crimeloc102","Ratcliff Highway","crimeLocation"
"t16920115-6","t16920115-6-crimeloc29","Bishopgate street","crimeLocation"
"t16920115-8","t16920115-8-crimeloc41","St. Andrews Holborn","crimeLocation"
"t16920629-1","t16920629-1-defloc2","Little-All-hallows","defendantHome"
"t16920629-7","t16920629-7-crimeloc41","Stepney Parish","crimeLocation"
"t16921207-21","t16921207-21-crimeloc97","without Bishops-gate","crimeLocation"
"t16930531-10","t16930531-10-crimeloc41","Knight-Riders-street","crimeLocation"
"t16931012-20","t16931012-20-crimeloc74","St. Botolph's Aldgate","crimeLocation"
"t16940524-8","t16940524-8-crimeloc30","Honey-lane Market","crimeLocation"
"t16940830-13","t16940830-13-crimeloc60","White-chappel","crimeLocation"
"t16940830-13","t16940830-13-crimeloc62","White-Chappel Road","crimeLocation"
"t16940830-7","t16940830-7-crimeloc28","Ram-Ally","crimeLocation"
"t16941010-13","t16941010-13-crimeloc60","Shoe-lane","crimeLocation"
"t16941010-35","t16941010-35-crimeloc151","Paternoster-row","crimeLocation"
"t16951203-2","t16951203-2-defloc6","St. Dunstans in the West","defendantHome"
"t16951203-2","t16951203-2-crimeloc9","Star Tavern in White-Fryers","crimeLocation"
"t16951203-2","t16951203-28-defloc149","St. Martins Ludgate","defendantHome"
"t16951203-28","t16951203-28-defloc149","St. Martins Ludgate","defendantHome"
"t16951203-42","t16951203-42-defloc216","St. James Clerkenwell","defendantHome"
"t16951203-9","t16951203-9-defloc47","St. Buttolph without Algate","defendantHome"
"t16960909-1","t16960909-1-defloc1","St. Peters Cornhil","defendantHome"
"t16960909-1","t16960909-17-defloc86","Kensington","defendantHome"
"t16960909-17","t16960909-17-defloc86","Kensington","defendantHome"
"t16960909-40","t16960909-40-defloc211","St. James's Westminster","defendantHome"
"t16960909-9","t16960909-9-defloc41","St. Sepulchres","defendantHome"
"t16960909-9","t16960909-9-crimeloc44","Ditton near Uxbridge","crimeLocation"
"t16970224-18","t16970224-18-defloc89","St. Giles's in the Fields","defendantHome"
"t16970224-18","t16970224-18-crimeloc92","High Holborn","crimeLocation"
"t16970224-18","t16970224-18-crimeloc93","the Crown","crimeLocation"
"t16970901-33","t16970901-33-defloc166","South-Mims","defendantHome"
"t16970901-42","t16970901-42-defloc213","Whitechappel","defendantHome"
"t16970901-55","t16970901-55-defloc274","St. Pauls Shadwell","defendantHome"
"t16970901-8","t16970901-8-defloc40","Whitechappel","defendantHome"
"t16971208-13","t16971208-13-crimeloc63","Lamb's-Chappel in the Ward of Cripplegate","crimeLocation"
"t16971208-22","t16971208-22-defloc105","St. Mary","defendantHome"
"t16971208-23","t16971208-23-defloc111","St. Giles's in the County of Middlesex","defendantHome"
"t17180530-6","t17180530-6-defloc25","Hillenden","defendantHome"
"t17180530-7","t17180530-7-defloc30","St. Giles's in the Fields","defendantHome"
"t17180530-9","t17180530-9-defloc41","St. Giles's in the Fields","defendantHome"
"t17180709-15","t17180709-15-defloc73","St. Anns Westminster","defendantHome"
"t17180709-16","t17180709-16-defloc78","Hackney","defendantHome"
"t17180709-16","t17180709-16-crimeloc81","Hackney-Church","crimeLocation"
"t17180709-18","t17180709-18-defloc88","St. James's Westminster","defendantHome"
"t17180709-19","t17180709-19-defloc93","St Dunstan's in the West","defendantHome"
"t17180709-2","t17180709-2-defloc8","St. Swithin's","defendantHome"
"t17180709-21","t17180709-21-defloc102","St. Michael's Cornhill","defendantHome"
"t17180709-2","t17180709-21-defloc102","St. Michael's Cornhill","defendantHome"
"t17180709-26","t17180709-26-defloc118","St. Martin's in the Fields","defendantHome"
"t17180709-2","t17180709-26-defloc118","St. Martin's in the Fields","defendantHome"
"t17180709-29","t17180709-29-defloc136","St. Giles's in the Fields","defendantHome"
"t17180709-2","t17180709-29-defloc136","St. Giles's in the Fields","defendantHome"
"t17180709-32","t17180709-32-defloc156","St. Dunstan's in the West","defendantHome"
"t17180709-32","t17180709-32-crimeloc159","White-Fryers","crimeLocation"
"t17180709-34","t17180709-34-defloc166","St. Giles's Cripplegate","defendantHome"
"t17180709-4","t17180709-4-defloc17","St. Dunstan's in the West","defendantHome"
"t16980720-34","t16980720-34-defloc162","St. Andrews Holbourn","defendantHome"
"t16980720-3","t16980720-34-defloc162","St. Andrews Holbourn","defendantHome"
"t16991011-30","t16991011-30-defloc149","St. Martins in the Fields","defendantHome"
"t16991011-8","t16991011-8-defloc40","Stepney","defendantHome"
"t16991213-38","t16991213-38-crimeloc211","Stepney","crimeLocation"
"t17000828-25","t17000828-25-defloc135","St. Clements Deans","defendantHome"
"t17000828-27","t17000828-27-defloc146","St. Margarets Westminster","defendantHome"
"t17000828-31","t17000828-31-defloc173","St. James Westminster","defendantHome"
"t17000828-54","t17000828-54-defloc278","St. Andrews Holborn","defendantHome"
"t17000828-63","t17000828-63-defloc320","St. Margets Westminster","defendantHome"
"t17000828-9","t17000828-9-defloc46","St. Andrews Holborn","defendantHome"
"t17180423-11","t17180423-11-defloc52","St. Margaret's Westminster","defendantHome"
"t17180423-12","t17180423-12-defloc57","St. Margaret's","defendantHome"
"t17180423-13","t17180423-13-defloc62","St. Brides","defendantHome"
"t17180423-14","t17180423-14-defloc67","St. Mary le Bone","defendantHome"
"t17180423-15","t17180423-15-defloc72","St. Helens","defendantHome"
"t17180423-16","t17180423-16-defloc77","St. Dunstan's in the West","defendantHome"
"t17180423-17","t17180423-17-defloc83","St. Buttolph's Aldgate","defendantHome"
"t17180423-2","t17180423-2-defloc7","St. Mary Whitechapel","defendantHome"
"t17180423-21","t17180423-21-defloc105","St. James's Westminster","defendantHome"
"t17180423-2","t17180423-21-defloc105","St. James's Westminster","defendantHome"
"t17180423-23","t17180423-23-defloc116","Enfield","defendantHome"
"t17180423-2","t17180423-23-defloc116","Enfield","defendantHome"
"t17180423-23","t17180423-23-crimeloc119","Enfield","crimeLocation"
"t17180423-2","t17180423-23-crimeloc119","Enfield","crimeLocation"
"t17180423-34","t17180423-34-defloc181","St. John Wapping","defendantHome"
"t17180423-38","t17180423-38-defloc200","St. Martin in the Fields","defendantHome"
"t17180423-44","t17180423-44-defloc229","St. Giles's in the Fields","defendantHome"
"t17180423-5","t17180423-5-defloc21","St. Bennets Paules wharf","defendantHome"
"t17180423-54","t17180423-54-defloc279","St. Sepulchres","defendantHome"
"t17180423-5","t17180423-54-defloc279","St. Sepulchres","defendantHome"
"t17180423-7","t17180423-7-defloc33","Hanwel","defendantHome"
"t17180423-9","t17180423-9-defloc43","St. James's Clerkenwell","defendantHome"
"t17180530-1","t17180530-1-defloc1","Christ Church","defendantHome"
"t17180530-1","t17180530-10-defloc46","St. Margaret's Westminster","defendantHome"
"t17180530-10","t17180530-10-defloc46","St. Margaret's Westminster","defendantHome"
"t17180530-1","t17180530-17-defloc77","St. Andrew's Holbourn","defendantHome"
"t17180530-17","t17180530-17-defloc77","St. Andrew's Holbourn","defendantHome"
"t17180530-1","t17180530-17-crimeloc81","Sun-Tavern in Holbourn","crimeLocation"
"t17180530-17","t17180530-17-crimeloc81","Sun-Tavern in Holbourn","crimeLocation"
"t17180530-1","t17180530-19-defloc88","St. Brides","defendantHome"
"t17180530-19","t17180530-19-defloc88","St. Brides","defendantHome"
"t17180530-1","t17180530-19-crimeloc91","Ludgate-Hill","crimeLocation"
