"Latitude","Longitude","Place_name"
"51.485425","-0.165479","near the Nelson public-house, at Chelsea, London, England"
"51.485425","-0.165479","Royal Hospital, near Chelsea College, London, England"
"51.485457","-0.371956","Heston, London, England"
"51.48582","-0.12205","Belvoir-terrace, Bridge-road, Vauxhall, London, England"
"51.485848","-0.12275","Vauxhall, London, England"
"51.486153","-0.014828","Falcon-square, London, England"
"51.48619","-0.3083","about 40 yards on this side Lord Northumberland's , beyond Brentford, London, England"
"51.48619","-0.3083","Albion-terrace, Old Brentford, London, England"
"51.48619","-0.3083","Brom lane, Old Brentford, London, England"
"51.48619","-0.3083","Bull's Head at Old Brentford, London, England"
"51.48619","-0.3083","Catherine-wheel public-house, at New Brentford, London, England"
"51.48619","-0.3083","Drum, public-house, at Old-Brentford, London, England"
"51.48619","-0.3083","Old Brentford, London, England"
"51.48619","-0.3083","the Castle at Brentford, London, England"
"51.48619","-0.3083","Three Queens at Brentford, London, England"
"51.486299","-0.101271","Newington, London, England"
"51.486396","-0.321662","Brentford, London, England"
"51.486487","-0.063734","Weybridge, London, England"
"51.486603","-0.281184","Ship-alley, London, England"
"51.486684","-0.124822","29, New Bridge-street, London, England"
"51.486684","-0.124822","New Bridge-street, London, England"
"51.486858","-0.125268","Vauxhall-bridge, London, England"
"51.487087","-0.158662","Chelsea Hospital, London, England"
"51.487384","-0.222123","Brandenburgh House, London, England"
"51.487542","-0.16822","Chelsea, London, England"
"51.48755","-0.16936","Beaufort-row, Chelsea, London, England"
"51.48755","-0.16936","Beaumont-row, Chelsea, London, England"
"51.48755","-0.16936","Bond-street, Chelsea, London, England"
"51.48755","-0.16936","Cheshire Cheese, Grosvenor-road, Chelsea, London, England"
"51.48755","-0.16936","China-walk, Chelsea, London, England"
"51.48755","-0.16936","Church-lane, Chelsea, London, England"
"51.48755","-0.16936","College-street, Chelsea, London, England"
"51.48755","-0.16936","Compasses, at Chelsea, London, England"
"51.48755","-0.16936","Compton-street, Chelsea, London, England"
"51.48755","-0.16936","Duke of York, public-house, at Chelsea, London, England"
"51.48755","-0.16936","Duke's-place, Chelsea, London, England"
"51.48755","-0.16936","Exeter-street, Sloane-street, Hans-place, Chelsea, London, England"
"51.48755","-0.16936","Five Feilds, Chelsea, London, England"
"51.48755","-0.16936","Five Field Road, Chelsea, London, England"
"51.48755","-0.16936","Five Fields, Chelsea, London, England"
"51.48755","-0.16936","Five-fields, Chelsea, London, England"
"51.48755","-0.16936","Flask-row, Chelsea, London, England"
"51.48755","-0.16936","Francis-street, Chelsea, London, England"
"51.48755","-0.16936","George, in Baron-row, Chelsea, London, England"
"51.48755","-0.16936","Grosvener-row, Chelsea, London, England"
"51.48755","-0.16936","Grosvenor-lane, Chelsea, London, England"
"51.48755","-0.16936","Grosvenor-row, Chelsea, London, England"
"51.48755","-0.16936","Hans-place, St. Luke, Chelsea, London, England"
"51.48755","-0.16936","Hospital-row, Chelsea, London, England"
"51.48755","-0.16936","Jews'-row, Chelsea, London, England"
"51.48755","-0.16936","Keemer's-terrace, Chelsea, London, England"
"51.48755","-0.16936","King's Head in Chelsea, London, England"
"51.48755","-0.16936","King's-row, Chelsea, London, England"
"51.48755","-0.16936","Leader-street, Chelsea, London, England"
"51.48755","-0.16936","Little Chelsea, London, England"
"51.48755","-0.16936","Manor-house, King's-road, Chelsea, London, England"
"51.48755","-0.16936","Military Asylum, Chelsea, London, England"
"51.48755","-0.16936","Mulman's Row, Chelsea, London, England"
"51.48755","-0.16936","New Road, Chelsea, London, England"
"51.48755","-0.16936","No. 48, Cheyney Walk, Chelsea, London, England"
"51.48755","-0.16936","No.12, Robinson's-lane, Great Chelsea, London, England"
"51.48755","-0.16936","One Tun, going to Chelsea, London, England"
"51.48755","-0.16936","Paradise-street, Chelsea, London, England"
"51.48755","-0.16936","parish of St. Luke's, Chelsea, London, England"
"51.48755","-0.16936","Park-place, Chelsea, London, England"
"51.48755","-0.16936","Prince Eugene, Chelsea, London, England"
"51.48755","-0.16936","Queen-square, Chelsea, London, England"
"51.48755","-0.16936","Queen-street, Chelsea, London, England"
"51.48755","-0.16936","Regent-street, Chelsea, London, England"
"51.48755","-0.16936","royal hospital at Chelsea, London, England"
"51.48755","-0.16936","Royal Hospital public-house, Chelsea, London, England"
"51.48755","-0.16936","Royal Hospital-row, Chelsea, London, England"
"51.48755","-0.16936","Sloan-street, Chelsea, London, England"
"51.48755","-0.16936","Snow Shoes public-house, at Chelsea, London, England"
"51.48755","-0.16936","South-street, Chelsea, London, England"
"51.48755","-0.16936","St. George's parish, near Chelsea, London, England"
"51.48755","-0.16936","St. Luke, Chelsea, London, England"
"51.48755","-0.16936","the General Elliott, Church-street, Chelsea, London, England"
"51.48755","-0.16936","the Mermaid at Chelsea, London, England"
"51.48755","-0.16936","Three Crowns, public-house, Chelsea, London, England"
"51.48755","-0.16936","Union-place, Chelsea, London, England"
"51.48755","-0.16936","Wellington-buildings, Manor-street, Chelsea, London, England"
"51.48755","-0.16936","Wilderness-row, Chelsea, London, England"
"51.48755","-0.16936","William's-buildings, Chelsea, London, England"
"51.487732","0.061024","Wellington-street, London, England"
"51.488079","-0.034364","Grove-street, London, England"
"51.488459","-0.16262","Smith-street, Chelsea, London, England"
"51.488489","-0.436303","Harlington, London, England"
"51.488549","-0.14421","Cumberland-street, London, England"
"51.488599","-0.255539","Devonshire street, London, England"
"51.488599","-0.255539","Devonshire-street, London, England"
"51.488614","-0.175437","Queen's square, London, England"
"51.488737","-0.165631","King's-road, London, England"
"51.488847","-0.478911","Five Bells, London, England"
"51.488847","-0.478911","five bells, London, England"
"51.488952","-0.005192","Grosvenor-wharf, London, England"
"51.48897","-0.13699","Arabella-row, Pimlico, London, England"
"51.48897","-0.13699","Bag of Nails public-house, at Pimlico, London, England"
"51.48897","-0.13699","Charlotte-street, Pimlico, London, England"
"51.48897","-0.13699","Cheshire Cheese public-house, at Pimlico, London, England"
"51.48897","-0.13699","Eaton-street, Pimlico, London, England"
"51.48897","-0.13699","Ebury-street, Pimlico, London, England"
"51.48897","-0.13699","Grosvenor-place, Pimlico, London, England"
"51.48897","-0.13699","Grosvenor-row, Pimlico, London, England"
"51.48897","-0.13699","King's-road, Pimlico, London, England"
"51.48897","-0.13699","No. 15, Princes-street, Pimlico, London, England"
"51.48897","-0.13699","No. 2, Queens-row, Pimlico, London, England"
"51.48897","-0.13699","No. 29. Palace-street, Pimlico, London, England"
"51.48897","-0.13699","No. 4, King's Row, Pimlico, London, England"
"51.48897","-0.13699","Palace-street, Pimlico, London, England"
"51.48897","-0.13699","Paul's street, Pimlico, London, England"
"51.48897","-0.13699","Princes-row, Pimlico, London, England"
"51.48897","-0.13699","Searl-street, Pimlico, London, England"
"51.48897","-0.13699","sign of the Magdalen, Pimlico, London, England"
"51.48897","-0.13699","Stafford's-row, Pimlico, London, England"
"51.48897","-0.13699","Stockbridge-terrace, Pimlico, London, England"
"51.48897","-0.13699","Three Compasses, at Pimlico, London, England"
"51.488974","-0.157847","Burton-row, London, England"
"51.488999","-0.139882","Pimlico, London, England"
"51.488999","-0.139882","Pimlicoe, London, England"
"51.489182","0.008643","Mauritius, London, England"
"51.489297","-0.14326","Sussex-street, London, England"
"51.489334","-0.105201","Mansion house, London, England"
"51.489334","-0.105201","Mansion-House, London, England"
"51.489334","-0.105201","Mansion-house, London, England"
"51.489334","-0.105201","the Mansion house, London, England"
"51.489575","-0.158136","York-row, London, England"
"51.489627","-0.157791","Turk's-row, Chelsea, London, England"
"51.489693","0.067397","Thomas-street, London, England"
"51.490033","-0.132147","Regency-street, London, England"
"51.490114","-0.09066","Walworth, London, England"
"51.490219","-0.132375","Milbank, London, England"
"51.490481","0.051516","Samuel-street, London, England"
"51.490546","-0.085475","St. Christopher's, London, England"
"51.490546","-0.085475","St. Christophers, London, England"
"51.490704","-0.13957","Gloucester-Street, London, England"
"51.490935","-0.310865","St Faith's, London, England"
"51.490935","-0.310865","St. Faith's, London, England"
"51.49116","-0.168482","Marlborough-street, London, England"
"51.491171","-0.150321","Avery farm, London, England"
"51.491275","-0.157499","26, Lower Sloane-street, London, England"
"51.49138","-0.157291","Lower Sloane street, London, England"
"51.49138","-0.157291","Lower Sloane-street, Chelsea, London, England"
"51.491552","-0.13404","Douglas-street, Westminster, London, England"
"51.491822","-0.178326","Brompton, London, England"
"51.491858","-0.117279","Lambeth-mews, London, England"
"51.492038","-0.22364","Hammersmith, London, England"
"51.492216","-0.158279","King's-road, Chelsea, London, England"
"51.492278","-0.157661","Lower Sloane-street, London, England"
"51.492314","-0.263818","Chiswick, London, England"
"51.492348","-0.156526","Sloane-square, London, England"
"51.492408","-0.062644","Blue-Anchor, London, England"
"51.492564","-0.228316","King-street, London, England"
"51.492612","-0.129043","Millbank, London, England"
"51.49271","-0.25801","Crown public-house at Chiswick, London, England"
"51.49271","-0.25801","Turnham-mews, Chiswick, London, England"
"51.492719","-0.117921","Newport Street, London, England"
"51.492719","-0.117921","Newport-street, London, England"
"51.492719","-0.117921","Newport-Street, London, England"
"51.492719","-0.117921","No. 27, Newport-street, London, England"
"51.492881","-0.225641","King-street, Hammersmith, London, England"
"51.492883","0.063881","Hare-street, London, England"
"51.492922","-0.156611","37, Sloane-square, Chelsea, London, England"
"51.492974","-0.133744","Vincent-square, Westminster, London, England"
"51.493125","-0.231218","Argyle-place, London, England"
"51.493379","-0.192622","King's Head, Chelsea, London, England"
