Latitude	Longitude	Place_name
51.50853	-0.12574	"White-chappel, London, England"
51.50853	-0.12574	"White-Chappel Road, London, England"
51.50853	-0.12574	"Ram-Ally, London, England"
51.50853	-0.12574	"Shoe-lane, London, England"
51.624515	0.215002	"Paternoster-row, London, England"
51.50853	-0.12574	"St. Dunstans in the West, London, England"
51.50853	-0.12574	"Star Tavern in White-Fryers, London, England"
51.50853	-0.12574	"St. Martins Ludgate, London, England"
51.50853	-0.12574	"St. Martins Ludgate, London, England"
51.52438	-0.11022	"St. James Clerkenwell, London, England"
51.50853	-0.12574	"St. Buttolph without Algate, London, England"
51.50853	-0.12574	"St. Peters Cornhil, London, England"
51.498995	-0.199123	"Kensington, London, England"
51.498995	-0.199123	"Kensington, London, England"
51.507908	-0.136573	"St. James's Westminster, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.54863	-0.48048	"Ditton near Uxbridge, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.517678	-0.118939	"High Holborn, London, England"
51.516817	-0.126344	"the Crown, London, England"
51.50853	-0.12574	"South-Mims, London, England"
51.50853	-0.12574	"Whitechappel, London, England"
51.509403	-0.052039	"St. Pauls Shadwell, London, England"
51.50853	-0.12574	"Whitechappel, London, England"
51.50853	-0.12574	"Lamb's-Chappel in the Ward of Cripplegate, London, England"
51.476547	-0.175451	"St. Mary, London, England"
51.50853	-0.12574	"St. Giles's in the County of Middlesex, London, England"
51.50853	-0.12574	"Hillenden, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.5	-0.11667	"St. Anns Westminster, London, England"
51.54324	-0.049362	"Hackney, London, England"
51.50853	-0.12574	"Hackney-Church, London, England"
51.507908	-0.136573	"St. James's Westminster, London, England"
51.50853	-0.12574	"St Dunstan's in the West, London, England"
51.452447	-0.007027	"St. Swithin's, London, England"
51.51336	-0.08597	"St. Michael's Cornhill, London, England"
51.51336	-0.08597	"St. Michael's Cornhill, London, England"
51.50853	-0.12574	"St. Martin's in the Fields, London, England"
51.50853	-0.12574	"St. Martin's in the Fields, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.50853	-0.12574	"St. Dunstan's in the West, London, England"
51.50853	-0.12574	"White-Fryers, London, England"
51.50853	-0.12574	"St. Giles's Cripplegate, London, England"
51.50853	-0.12574	"St. Dunstan's in the West, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.50853	-0.12574	"St. Clements Deans, London, England"
51.5	-0.11667	"St. Margarets Westminster, London, England"
51.507191	-0.132358	"St. James Westminster, London, England"
51.51753	-0.12045	"St. Andrews Holborn, London, England"
51.5	-0.11667	"St. Margets Westminster, London, England"
51.51753	-0.12045	"St. Andrews Holborn, London, England"
51.5	-0.11667	"St. Margaret's Westminster, London, England"
51.456709	-0.322412	"St. Margaret's, London, England"
51.5138	-0.10576	"St. Brides, London, England"
51.52541	-0.16806	"St. Mary le Bone, London, England"
51.518863	-0.218106	"St. Helens, London, England"
51.50853	-0.12574	"St. Dunstan's in the West, London, England"
51.51342	-0.0771	"St. Buttolph's Aldgate, London, England"
51.51382	-0.06583	"St. Mary Whitechapel, London, England"
51.507908	-0.136573	"St. James's Westminster, London, England"
51.507908	-0.136573	"St. James's Westminster, London, England"
51.651712	-0.083214	"Enfield, London, England"
51.651712	-0.083214	"Enfield, London, England"
51.651712	-0.083214	"Enfield, London, England"
51.651712	-0.083214	"Enfield, London, England"
51.50506	-0.05682	"St. John Wapping, London, England"
51.508824	-0.126659	"St. Martin in the Fields, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.50853	-0.12574	"St. Bennets Paules wharf, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"Hanwel, London, England"
51.52438	-0.11022	"St. James's Clerkenwell, London, England"
51.506245	-0.105154	"Christ Church, London, England"
51.5	-0.11667	"St. Margaret's Westminster, London, England"
51.5	-0.11667	"St. Margaret's Westminster, London, England"
51.50853	-0.12574	"St. Andrew's Holbourn, London, England"
51.50853	-0.12574	"St. Andrew's Holbourn, London, England"
51.50853	-0.12574	"Sun-Tavern in Holbourn, London, England"
51.50853	-0.12574	"Sun-Tavern in Holbourn, London, England"
51.5138	-0.10576	"St. Brides, London, England"
51.5138	-0.10576	"St. Brides, London, England"
51.51397	-0.10236	"Ludgate-Hill, London, England"
51.51397	-0.10236	"Ludgate-Hill, London, England"
51.50853	-0.12574	"St. Martin's Ludgate, London, England"
51.50853	-0.12574	"St. James's Westminister, London, England"
51.50853	-0.12574	"St. James's Westminister, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.515306	-0.128446	"St. Giles in the Fields, London, England"
51.515306	-0.128446	"St. Giles in the Fields, London, England"
51.51883	-0.09973	"St. Bartholomew the Great, London, England"
51.54324	-0.049362	"Hackney, London, England"
51.54324	-0.049362	"Hackney, London, England"
51.507191	-0.132358	"St. James Westminster, London, England"
51.507191	-0.132358	"St. James Westminster, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.50853	-0.12574	"St. Andrew Holbourn, London, England"
51.50853	-0.12574	"St. Andrew Holbourn, London, England"
51.54324	-0.049362	"Hackney, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.50853	-0.12574	"St. Giles's Cripplegate, London, England"
51.648793	-0.172865	"Barnet, London, England"
51.507191	-0.132358	"St. James Westminster, London, England"
51.51336	-0.08597	"St. Michaels Cornhill, London, England"
51.51336	-0.08597	"St. Michaels Cornhill, London, England"
51.50853	-0.12574	"St. Michaels Queenhithe, London, England"
51.50853	-0.12574	"St. Michaels Queenhithe, London, England"
51.50853	-0.12574	"St. Mary Lothbury, London, England"
51.50853	-0.12574	"St. Mary Lothbury, London, England"
51.50853	-0.12574	"Alhallows in the Wall, London, England"
51.50853	-0.12574	"Alhallows in the Wall, London, England"
51.50853	-0.12574	"St. Buttolphs Bishops-gate, London, England"
51.50853	-0.12574	"St. Buttolphs Bishops-gate, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Andrews Holbourn, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.50853	-0.12574	"St. Buttolphs Bishops-gate, London, England"
51.50853	-0.12574	"St. Buttolphs Bishops-gate, London, England"
51.50853	-0.12574	"4 swans in Bishops-gate-street, London, England"
51.50853	-0.12574	"4 swans in Bishops-gate-street, London, England"
51.5	-0.11667	"St. Anns Westminster, London, England"
51.5	-0.11667	"St. Anns Westminster, London, England"
51.50853	-0.12574	"St. Andrew Holbourn, London, England"
51.50853	-0.12574	"St. Andrew Holbourn, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"St. Mary Whitechappel, London, England"
51.50853	-0.12574	"St. Mary Whitechappel, London, England"
