"PRIMARY_ID","BREAKING_PEACE","DAMAGE","DECEPTION","KILL","MISC","ROYAL_OFFENCES","SEXUAL","THEFT","VIOLENT_THEFT"
"t17180910-14","0","0","0","0","0","0","0","1","0"
"t17180910-15","0","0","0","0","0","0","0","1","0"
"t17180910-18","0","0","0","0","0","0","0","1","0"
"t17180910-19","0","0","0","0","0","0","0","1","0"
"t17180910-2","0","0","0","0","0","0","0","1","0"
"t17180910-20","0","0","0","0","0","0","0","1","0"
"t17180910-22","0","0","0","0","0","0","0","1","0"
"t17180910-23","0","0","0","0","0","0","0","1","0"
"t17180910-24","0","0","0","0","0","0","0","1","0"
"t17180910-26","0","0","0","0","0","0","0","1","0"
"t17180910-27","0","0","0","0","0","0","0","1","0"
"t17180910-29","0","0","0","0","0","0","0","1","0"
"t17180910-3","0","0","0","0","0","0","0","1","0"
"t17180910-30","0","0","0","0","0","0","0","1","0"
"t17180910-31","0","0","0","0","0","0","0","1","0"
"t17180910-32","0","0","0","0","0","0","0","1","0"
"t17180910-33","0","0","0","0","0","0","0","1","0"
"t17180910-34","0","0","0","0","0","0","0","1","0"
"t17180910-35","0","0","0","0","0","0","0","1","0"
"t17180910-38","0","0","0","0","0","0","0","1","0"
"t17180910-4","0","0","0","0","0","0","0","1","0"
"t17180910-43","0","0","0","0","0","0","0","1","0"
"t17180910-47","0","0","0","0","0","0","0","1","0"
"t17180910-48","0","0","0","0","0","0","0","1","0"
"t17180910-49","0","0","0","0","0","0","0","1","0"
"t17180910-5","0","0","0","0","0","0","0","1","0"
"t17180910-50","0","0","0","0","0","0","0","1","0"
"t17180910-51","0","0","0","0","0","0","0","1","0"
"t17180910-54","0","0","0","0","0","0","0","1","0"
"t17180910-56","0","0","0","0","0","0","0","1","0"
"t17180910-57","0","0","0","0","0","0","0","1","0"
"t17180910-6","0","0","0","0","0","0","0","1","0"
"t17180910-62","0","0","0","0","0","0","0","1","0"
"t17180910-66","0","0","0","0","0","0","0","1","0"
"t17180910-68","0","0","0","0","0","0","0","1","0"
"t17180910-70","0","0","0","0","0","0","0","1","0"
"t17180910-72","0","0","0","0","0","0","0","1","0"
"t17180910-80","0","0","0","0","0","0","0","1","0"
"t17180910-9","0","0","0","0","0","0","0","1","0"
"t17181015-13","1","0","0","0","0","0","0","0","0"
"t17181015-19","0","0","0","0","0","0","0","1","0"
"t17181015-22","0","0","0","0","0","0","0","1","0"
"t17181015-24","0","0","0","0","0","0","0","1","0"
"t17181015-3","0","0","0","0","0","0","0","1","0"
"t17181015-30","0","0","0","0","0","0","0","1","0"
"t17181015-35","0","0","0","0","0","0","0","1","0"
"t17181015-37","0","0","0","0","0","0","0","1","0"
"t17181205-11","0","0","0","0","0","0","0","1","0"
