ID,CRIME_LOCATION,DEFENDANT_HOME
t17181205-14,,St. Sepulchres
t17181205-16,,St. Sepulchres
t17181205-17,,St. Buttolphs Aldgate
t17181205-2,,St. Gabriel's Fenchurch-street
t17181205-22,St. Paul's Church-Yard,St. Giles in the Fields
t17181205-22,St. Paul's Church-Yard,St. Giles in the Fields
t17181205-3,,St. Mildred Poultry
t17181205-30,,Hackney
t17181205-31,,St. James Westminster
t17181205-34,,St. Andrews Holbourn
t17181205-36,,St. Martins in the Fields
t17181205-37,,Stepney
t17181205-37,,Stepney
t17181205-39,,St. Andrew Holbourn
t17181205-41,,Hackney
t17181205-42,,St. Andrews Holbourn
t17181205-46,,Stepney
t17181205-46,,Stepney
t17181205-47,,St. Andrews Holbourn
t17181205-48,,St. Sepulchres
t17181205-5,,St. Giles's Cripplegate
t17181205-50,Holbourn-Bridge,St. Sepulchres
t17181205-50,Holbourn-Bridge,St. Sepulchres
t17181205-51,,St. Andrews Holbourn
t17181205-6,,St. Thomas Apostles
t17181205-7,Stocks-Market,St. Mildreds Poultry
t17181205-7,Stocks-Market,St. Mildreds Poultry
t17181205-8,,St. Magnes the Martyr
t17190115-10,,St. Mary Aldermanbury
t17190115-11,,St. Buttolph Aldgate
t17190115-13,,Allhallows Bread-street
t17190115-20,near Stains,Stanwell
t17190115-20,near Stains,Stanwell
t17190115-25,little Ormond-yard,St. Andrews Holbourn
t17190115-25,little Ormond-yard,St. Andrews Holbourn
t17190115-26,,St. Clement Danes
t17190115-27,,St. Giles Cripplegate
t17190115-3,,St. James's Clarkenwel
t17190115-33,,St. Giles Cripplegate
t17190115-34,,All Hallows
t17190115-38,,St Giles Cripplegate
t17190115-4,,St. James Clarkenwel
t17190115-40,,
t17190115-44,,St. Mary White Chappel
t17190115-8,,St. Giles Cripplegate
t17190115-9,,St. Andrews Holbourn
t17190225-1,,St. Mary White-Chappel
t17190225-11,Stocks Market,St. Mildred Poultry
t17190225-11,Stocks Market,St. Mildred Poultry
t17190225-14,,St. John at Wapping
t17190225-15,,St. Dunstan in the East
t17190225-16,,St. Giles Cripplegate
t17190225-18,,St. Dionis Backchurch
t17190225-19,,St. Giles's Cripplegate
t17190225-2,,St. Dunstan at Stepney
t17190225-22,,
t17190225-25,Queenhith,St. Michael's Queenhith
t17190225-25,Queenhith,St. Michael's Queenhith
t17190225-29,,St. Martins in the Fields
t17190225-3,,
t17190225-31,Golden Lane,St. Giles Cripplegate
t17190225-31,Golden Lane,St. Giles Cripplegate
t17190225-32,,St. Margarets Westminster
t17190225-33,,St. Jame's Westminster
t17190225-34,,St. Giles in the Fields
t17190225-35,,Ealing
t17190225-37,,St. Margarets Westminster
t17190225-38,,St. Martin in the Fields
t17190225-39,,St. Giles in the Fields
t17190225-40,,St. Giles in the Fields
t17190225-5,,Christ-Church
t17190225-6,,St. Dunstan's in the East
t17190225-6,,St. Dunstan's in the East
t17190225-7,,St. Clements Danes
t17190408-16,,
t17190408-17,Hand-Alley near Grays-in-Lane,St. Andrews Holburn
t17190408-17,Hand-Alley near Grays-in-Lane,St. Andrews Holburn
t17190408-20,,St.Martins in the Fields
t17190408-21,,St. Martins in the Fields
t17190408-22,,St. Mary Islington
t17190408-23,,St. Dunstan at Stepney
t17190408-27,,St. Dunstan at Stepney
t17190408-28,,St. Dunstan at Stepney
t17190408-29,,St.Leonard Shoreditch
t17190408-3,,St. Andrews Holbourn
t17190408-30,,St. Giles in the Fields
t17190408-31,,St. Martins in the Fields
t17190408-32,,St. Giles in the Fields
t17190408-34,,St. Giles in the Fields
t17190408-35,,Stepney
t17190408-35,,Stepney
t17190408-36,Hungerford Market,St. James Clerkenwell
t17190408-36,Hungerford Market,St. James Clerkenwell
t17190408-38,,St. John at Hackney
t17190408-44,,St. Martins in the Fields
t17190408-5,,St. Margaret Pattons
t17190408-7,St. Pauls Church Yard,St. Gregory by St. Paul
t17190408-7,St. Pauls Church Yard,St. Gregory by St. Paul
t17190514-1,Cheapside,St. Mary-le-Bow
t17190514-1,Cheapside,St. Mary-le-Bow
t17190514-14,,St. Andrews Holbourn
t17190514-19,Shadwell Dock,St. Paul's Shadwell
t17190514-19,Shadwell Dock,St. Paul's Shadwell
t17190514-23,,St. Margaret's Westminster
t17190514-25,,St. James's Westminster
t17190514-26,,St. Giles's in the Fields
t17190514-27,,St. Martins in the Fields
t17190514-31,Lamb-Inn near St. Clements Church,St. Clement's Danes
t17190514-31,Lamb-Inn near St. Clements Church,St. Clement's Danes
t17190514-37,,St. Andrews Holbourn
t17190514-38,,St. Leonard Shoreditch
t17190514-39,St. Giles in the Fields,St. Giles in the Fields
t17190514-39,St. Giles in the Fields,St. Giles in the Fields
t17190514-4,,St. Brides
t17190514-44,,St. John at Hackeny
t17190514-5,St. Paul's Church,St. Gregory
t17190514-5,St. Paul's Church,St. Gregory
t17190514-8,,St. Botolphs Bishopsgate
t17190708-1,St. Martins,St. Anns Aldersgate
t17190708-1,St. Martins,St. Anns Aldersgate
t17190708-10,,St.Giles Cripplegate
t17190708-11,,St. Mildred Poultry
t17190708-13,,Christ-Church
t17190708-15,,St. Laurence Pountney
t17190708-17,Water-lane in White-Fryers,"Precinct of White-Fryars, in the Ward of Farringdon without"
t17190708-17,Water-lane in White-Fryers,"Precinct of White-Fryars, in the Ward of Farringdon without"
t17190708-18,,St. Anns Westminster
t17190708-19,,St. Dunstan at Stepney
t17190708-2,Royal Exchange,St. Michael's Cornhill
t17190708-2,Royal Exchange,St. Michael's Cornhill
t17190708-21,,St.Jame's Westminster
t17190708-22,,St. Mary White Chappel
t17190708-23,,St. Margarets Westminster
t17190708-25,,St. Andrews Holbourn
t17190708-28,,St. Margarets Westminster
t17190708-29,,St. Botolph without Aldgate
t17190708-3,,
t17190708-33,,St. Martins in the Fields
t17190708-35,,St. Sepulchres
t17190708-36,,St. Clements Danes
t17190708-39,Pitchcot near Ailesbury in Buckinghamshire,St. Paul's Covent Garden
t17190708-39,Pitchcot near Ailesbury in Buckinghamshire,St. Paul's Covent Garden
t17190708-4,,Alhallows the Less
t17190708-45,,St. James's Clerkenwell
t17190708-5,,St. Giles Cripplegate
t17190708-50,,Acton
t17190708-51,,St. Paul's Covent-Garden
t17190708-52,,Stanmore
t17190708-54,,St. James Clerkenwell
t17190708-54,,St. James Clerkenwell
t17190708-55,,St. James Clerkenwell
t17190708-6,,Alhallows the Great
t17190708-8,Blue Boar Inn,St. Botolphs Aldgate
t17190708-8,Blue Boar Inn,St. Botolphs Aldgate
t17190903-1,Long Hill,St. Brides
t17190903-1,Long Hill,St. Brides
t17190903-12,,St. Laurence Jewry
t17190903-14,Gullty Hole by Fleet Bridge,St. Brides
t17190903-14,Gullty Hole by Fleet Bridge,St. Brides
t17190903-16,,St. Brides
t17190903-20,,Christ-Church
t17190903-22,,St. Bartholomew the Great
t17190903-26,,
t17190903-27,,St. Giles in the Fields
t17190903-3,,St. Mary Magdalen in Old-Fish-Street
t17190903-30,,St. Martins in the Fields
t17190903-31,,St. Paul's Shadwell
t17190903-36,,St. Anns Westminster
t17190903-37,,Feltham
t17190903-38,,St. Clements Danes
t17190903-4,Alehouse in Bear Lane,Alhallows the Less
t17190903-4,Alehouse in Bear Lane,Alhallows the Less
t17190903-44,Royal Oake in Drury Lane,St. Giles in the Fields
t17190903-44,Royal Oake in Drury Lane,St. Giles in the Fields
t17190903-45,,St. Clements Danes
t17190903-48,,St. Giles's Cripplegate
t17190903-49,,St. Leonard Shoreditch
t17190903-52,,St. Sepulchres
t17190903-53,,St. Dunstan at Stepney
t17190903-7,,St. Dunstan in the West
t17191014-13,,St. Margarets Westminster
t17191014-15,,"St. Dunstan, at Stepney"
t17191014-16,,St. Dunstan at Stepney
t17191014-19,Church of Northolt,Northolt
t17191014-19,Church of Northolt,Northolt
t17191014-2,,St. Stephen in Coleman-street
t17191014-24,,St. Anns Westminster
t17191014-25,,St. John at Wapping
t17191014-27,,South Mins
t17191014-29,,St. Martin in the Fields
t17191014-34,7 Dials,St. Giles in the Fields
t17191014-34,7 Dials,St. Giles in the Fields
t17191014-6,St. Paul's Church,St. Faiths
t17191014-6,St. Paul's Church,St. Faiths
t17191014-7,,St. Giles's Cripplegate
t17191014-9,,St.Botolph Aldgate
t17191204-1,,St. Andrew Undershaft
t17191204-10,,St. Gregory's
t17191204-11,,St. Margaret in Lothbury
t17191204-12,,Christ Church
t17191204-13,Fleet-street,St. Brides
t17191204-13,Fleet-street,St. Brides
t17191204-16,,St. Giles in the Fields
t17191204-2,Bull-Inn in White Chappel,St. Botolph without Aldgate
t17191204-2,Bull-Inn in White Chappel,St. Botolph without Aldgate
t17191204-20,Burlington Gardens,St. James's Westminster
t17191204-20,Burlington Gardens,St. James's Westminster
t17191204-21,,St. Clements Danes
t17191204-22,,Twittenham
t17191204-23,,St. Mary White Chappel
t17191204-24,,Hornsey
t17191204-27,,
t17191204-28,Monmouth Street in Spittle Fields,St. Dunstan at Stepney
t17191204-28,Monmouth Street in Spittle Fields,St. Dunstan at Stepney
t17191204-3,St. Paul's Church Yard,St. Faiths
t17191204-3,St. Paul's Church Yard,St. Faiths
t17191204-33,,St. Dunstan at Stepney
t17191204-35,,Rolls Liberty
t17191204-36,,St. Mary White Chappel
t17191204-37,,St. Andrews Holbourn
t17191204-39,,St. Giles in the Fields
t17191204-4,,St. Botolph Bishopsgate
t17191204-41,Rosemary-Lane,St. Botolph without Aldgate
t17191204-41,Rosemary-Lane,St. Botolph without Aldgate
t17191204-41,Rosemary-Lane,St. Botolph without Aldgate
t17191204-41,Rosemary-Lane,St. Botolph without Aldgate
t17191204-44,,St. Botolph without Aldgate
t17191204-45,,St. Martins in the Fields
t17191204-46,,St. Martins in the Fields
t17200115-1,,St. Christophers
t17200115-10,,St. Gils's without Cripplegate
t17200115-11,,St. James's Westminster
t17200115-13,White-Lead-House in White Chapel,St. Mary White Chapel
t17200115-13,White-Lead-House in White Chapel,St. Mary White Chapel
t17200115-15,,St. Martins in the Fields
t17200115-17,,St. Anns Westminster
t17200115-2,,All Hallows Barkin
t17200115-20,Warwicks Stables,St. Andrews Holbourn
t17200115-20,Warwicks Stables,St. Andrews Holbourn
t17200115-23,,St. Botolph without Aldgate
t17200115-24,,St. Giles in the Fields
t17200115-25,,St. Mary in White Chappel
t17200115-27,,St. Giles without Cripplegate
t17200115-30,,St. Giles without Cripplegate
t17200115-33,,St. Giles in the Fields
t17200115-34,,St. Paul's Covent Garden
t17200115-5,Bride-Lane in Fleet-Street,St. Brides
t17200115-5,Bride-Lane in Fleet-Street,St. Brides
t17200303-1,Finch-Lane,St. Michael's Cornhill
t17200303-1,Finch-Lane,St. Michael's Cornhill
t17200303-10,,St. Giles without Cripplegate
t17200303-12,,St. Sepulcheres
t17200303-13,Three Tun Taven at Bilinsgate,St. Botolph's Billinsgate
t17200303-13,Three Tun Taven at Bilinsgate,St. Botolph's Billinsgate
t17200303-14,,St. Margarets New Fish-street
t17200303-17,,St. Sepulchres
t17200303-19,,St. Giles's Cripplegate
t17200303-2,Gutter-Lane,St. Vedaft alias Foster
t17200303-2,Gutter-Lane,St. Vedaft alias Foster
t17200303-3,,St Lawrence Pountney
t17200303-32,,St. James Dukes Place
t17200303-37,,St. Katharine Coleman
t17200303-38,,St. Margarets Westminster
t17200303-39,,St. Dunstan at Stepney
t17200303-4,,St. Ann Black Fryers
t17200303-40,,Stoke Newington
t17200303-45,,St. Leonard Shoreditch
t17200303-47,,St. John at Wapping
t17200303-49,Rag-Fair,St. Mary White-Chappel
t17200303-49,Rag-Fair,St. Mary White-Chappel
t17200303-5,,
t17200303-50,Rummer Tavern in Chancery Lane,St. Dunstan's in the West
t17200303-50,Rummer Tavern in Chancery Lane,St. Dunstan's in the West
t17200303-54,,St. Giles in the Fields
t17200303-55,,St. Clements Danes
t17200303-56,,St. Clements Danes
t17200303-57,,Liberty of Norton Falgate
t17200303-6,Fleet-street,St. Dunstan's in the West
t17200303-6,Fleet-street,St. Dunstan's in the West
t17200303-7,,St. James Garlickhith
t17200427-1,,St. Leonard Eastcheap
t17200427-16,,St. Dunstan in the East
t17200427-18,,St. Peters Cornhill
t17200427-2,,St. Michael's Cornhill
t17200427-20,,St. Olave's Hart-Street
t17200427-22,,St. Brides
t17200427-29,,Chelsea
t17200427-3,,St Katharine Coleman
t17200427-30,Stepney Church,St. Leonard Shoreditch
t17200427-30,Stepney Church,St. Leonard Shoreditch
t17200427-31,,St. Martins in the Fields
t17200427-32,,St. Botolph without Aldgate
t17200427-35,,St. Clements Danes
t17200427-36,,St. Mary White Chapel
t17200427-39,,St. Giles in the Fields
t17200427-4,,St. Andrew Undershaft
t17200427-40,,
t17200427-41,,St. James Westminster
t17200427-42,,St. Mary White Chapel
t17200427-44,,St. Dunstan at Stepney
t17200427-5,,St. Mary Abchurch
t17200427-50,Fountain Tavern in the Strand,St. Clements Danes
t17200427-50,Fountain Tavern in the Strand,St. Clements Danes
t17200427-51,,St. Dunstan at Stepney
t17200427-52,,St. Paul's Covent-Garden
t17200427-56,,St. Mary in the Savoy
t17200427-57,,St. Clements Danes
t17200427-58,,St. Mary White Chapel
t17200427-61,Goodmans-Fields,St. Mary White-Chapel
t17200427-61,Goodmans-Fields,St. Mary White-Chapel
t17200427-62,,St. Ann's Westminster
t17200427-65,,St. Katharine Coleman
t17200427-69,,St. James's Westminster
t17200427-7,,St. Sepulchres
t17200427-70,,St. Martins in the Fields
t17200427-8,,St. Botolph without Aldgate
t17200427-9,,St. Botolph without Aldgate
t17200602-19,,St. James Westminster
t17200602-21,,St. Giles's in the Fields
t17200602-24,,St. James Clerkenwell
t17200602-33,,Edminton
t17200602-36,,St. Andrews Holbourn
t17200602-37,White Lyon Inn Yard at Islington,St. James at Clerkenwell
t17200602-37,White Lyon Inn Yard at Islington,St. James at Clerkenwell
t17200602-38,Shackelwell,St. John at Hackney
t17200602-38,Shackelwell,St. John at Hackney
t17200602-40,,St. John at Hackney
t17200602-6,,St. Mildred in the Poultry
t17200602-8,,St. Mary Hill
t17200712-13,Livery Stables in Finsbury,St. Giles without Cripplegate
t17200712-13,Livery Stables in Finsbury,St. Giles without Cripplegate
t17200712-17,St. James's Park,St. James Westminster
t17200712-17,St. James's Park,St. James Westminster
t17200712-18,,St. Clements Danes
t17200712-19,"Rose Tavern, Covent-Garden",St. Paul's Covent-Garden
t17200712-19,"Rose Tavern, Covent-Garden",St. Paul's Covent-Garden
