"ID","DATESTAMP"
"t17220112-7","1/12/1722"
"t17220228-13","2/28/1722"
"t17220228-3","2/28/1722"
"t17220228-31","2/28/1722"
"t17220228-44","2/28/1722"
"t17220228-68","2/28/1722"
"t17260114-4","1/14/1726"
"t17250407-34","4/7/1725"
"t17250407-37","4/7/1725"
"t17250407-4","4/7/1725"
"t17241014-71","10/14/1724"
"t17241014-75","10/14/1724"
"t17241014-76","10/14/1724"
"t17241014-77","10/14/1724"
"t17260302-11","3/2/1726"
"t17250407-46","4/7/1725"
"t17250827-70","8/27/1725"
"t17260302-32","3/2/1726"
"t17260302-33","3/2/1726"
"t17250513-10","5/13/1725"
"t17251013-12","10/13/1725"
"t17241204-74","12/4/1724"
"t17250513-17","5/13/1725"
"t17250513-2","5/13/1725"
"t17251013-2","10/13/1725"
"t17250513-40","5/13/1725"
"t17250513-44","5/13/1725"
"t17250513-46","5/13/1725"
"t17251013-31","10/13/1725"
"t17251013-34","10/13/1725"
"t17250115-22","1/15/1725"
"t17250115-27","1/15/1725"
"t17251013-39","10/13/1725"
"t17251013-42","10/13/1725"
"t17251013-43","10/13/1725"
"t17251013-48","10/13/1725"
"t17250115-34","1/15/1725"
"t17250630-27","6/30/1725"
"t17251013-65","10/13/1725"
"t17260420-40","4/20/1726"
"t17250630-3","6/30/1725"
"t17251208-19","12/8/1725"
"t17260425-32","4/25/1726"
"t17250224-15","2/24/1725"
"t17250630-37","6/30/1725"
"t17250630-48","6/30/1725"
"t17250630-59","6/30/1725"
"t17260420-16","4/20/1726"
"t17260420-17","4/20/1726"
"t17250630-70","6/30/1725"
"t17251208-37","12/8/1725"
"t17251208-4","12/8/1725"
"t17251208-46","12/8/1725"
"t17260420-6","4/20/1726"
"t17250224-33","2/24/1725"
"t17250224-40","2/24/1725"
"t17250827-18","8/27/1725"
"t17251208-6","12/8/1725"
"t17260711-10","7/11/1726"
"t17260711-3","7/11/1726"
"t17250827-22","8/27/1725"
"t17250827-29","8/27/1725"
"t17251208-76","12/8/1725"
"t17251208-80","12/8/1725"
"t17250224-59","2/24/1725"
"t17250827-31","8/27/1725"
"t17250827-35","8/27/1725"
"t17260420-8","4/20/1726"
"t17260114-17","1/14/1726"
"t17260114-18","1/14/1726"
"t17260302-69","3/2/1726"
"t17250407-27","4/7/1725"
"t17241014-4","10/14/1724"
"t17241014-49","10/14/1724"
"t17260114-2","1/14/1726"
"t17241204-14","12/4/1724"
"t17231016-16","10/16/1723"
"t17231016-27","10/16/1723"
"t17240226-89","2/26/1724"
"t17240415-20","4/15/1724"
"t17220510-20","5/10/1722"
"t17220510-22","5/10/1722"
"t17240521-17","5/21/1724"
"t17220510-27","5/10/1722"
"t17220510-33","5/10/1722"
"t17230227-20","2/27/1723"
"t17231016-39","10/16/1723"
"t17240521-26","5/21/1724"
"t17240521-29","5/21/1724"
"t17240521-34","5/21/1724"
"t17240521-4","5/21/1724"
"t17240708-13","7/8/1724"
"t17230227-43","2/27/1723"
"t17231204-11","12/4/1723"
"t17231204-17","12/4/1723"
"t17231204-19","12/4/1723"
"t17231204-34","12/4/1723"
"t17231204-44","12/4/1723"
"t17240708-4","7/8/1724"
"t17240708-40","7/8/1724"
"t17240708-42","7/8/1724"
"t17240708-51","7/8/1724"
"t17240812-27","8/12/1724"
"t17220907-27","9/7/1722"
"t17240117-21","1/17/1724"
"t17240117-24","1/17/1724"
"t17241014-25","10/14/1724"
"t17220907-33","9/7/1722"
